Unnamed: 0,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Channel,Views,Likes,Comments,Description,Licensed,official_video,Stream,Genre
600,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,My Own Summer (Shove It),Around the Fur,album,spotify:track:1158ckiB5S4cpsdYHDB9IF,0.443,0.781,1.0,-4.277,0.0377,1.33e-05,0.205,0.166,0.372,71.841,214760.0,https://www.youtube.com/watch?v=XOzs1FehYOA,Deftones - My Own Summer (Official Music Video) [HD Remaster],Deftones,34336850.0,265625.0,9783.0,"Official video for ""My Own Summer (Shove It)""
Celebrating 25 years of Around The Fur. Stream the album at https://deftones.lnk.to/AroundTheFur

Shop the Deftones store now at https://shopdeftones.com/
New album _Ohms, available now: https://Deftones.lnk.to/ohms 

Follow Deftones
Website: https://deftones.com
Instagram: https://www.instagram.com/deftones/  
Facebook: https://www.facebook.com/deftones/  
Twitter: https://twitter.com/deftones  
Spotify: https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH  
Apple Music: https://music.apple.com/us/artist/deftones/1092903  
Bandsintown: https://www.bandsintown.com/en/a/81-deftones  
Songkick: https://www.songkick.com/artists/83230-deftones",True,True,176388309.0,nu metal
601,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,Be Quiet and Drive (Far Away),Around the Fur,album,spotify:track:4Uiw0Sl9yskBaC6P4DcdVD,0.206,0.965,1.0,-5.116,0.079,9.91e-06,0.827,0.367,0.168,92.615,299867.0,https://www.youtube.com/watch?v=KvknOXGPzCQ,Deftones - Be Quiet And Drive (Far Away) (Official Video) [HD Remaster],Deftones,36805017.0,318193.0,12114.0,"Official video for ""Be Quiet And Drive (Far Away)"" 
Celebrating 25 years of Around The Fur. Stream the album at https://deftones.lnk.to/AroundTheFur

Shop the Deftones store now at https://shopdeftones.com/

New album _Ohms, available now: https://Deftones.lnk.to/ohms 

Follow Deftones
Website: https://deftones.com
Instagram: https://www.instagram.com/deftones/  
Facebook: https://www.facebook.com/deftones/  
Twitter: https://twitter.com/deftones  
Spotify: https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH  
Apple Music: https://music.apple.com/us/artist/deftones/1092903  
Bandsintown: https://www.bandsintown.com/en/a/81-deftones  
Songkick: https://www.songkick.com/artists/83230-deftones",True,True,122225430.0,nu metal
602,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,Sextape,Diamond Eyes,album,spotify:track:1EryAkZ0VHstC6haIxVBiE,0.367,0.634,5.0,-6.475,0.027,0.000824,0.0759,0.116,0.0964,89.981,241533.0,https://www.youtube.com/watch?v=f0pdwd0miqs,Deftones - Sextape [Official Music Video],Deftones,27042523.0,301823.0,11022.0,"Official music video for ""Sextape"" by Deftones from the album Diamond Eyes. Subscribe to the channel: https://youtube.com/c/deftones?sub_confirmation=1

Get the White Pony 20th anniversary reissue x Black Stallion remix double album here: https://warnerrecords.lnk.to/wp20​
Listen to Ohms: https://Deftones.lnk.to/Ohms

Directed by ZFCL

Follow Deftones
Website: https://deftones.com
Instagram: https://www.instagram.com/deftones/  
Facebook: https://www.facebook.com/deftones/  
Twitter: https://twitter.com/deftones 
TikTok: https://www.tiktok.com/@deftones  
Spotify: https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH  
Apple Music: https://music.apple.com/us/artist/deftones/1092903  
Bandsintown: https://www.bandsintown.com/en/a/81-deftones  
Songkick: https://www.songkick.com/artists/83230-deftones 

Formed in Sacramento, CA, in 1988, the multiplatinum GRAMMY® Award-winning Deftones are an influential alternative presence with over 10 million records sold worldwide. In 2020, Deftones continued their trailblazing arc as an alternative leader with their ninth full-length album, Ohms, and a thrilling full-album remix of White Pony.

Lyrics:
Floating underwater
Ever changing picture
Hours out from land
In tune with all our dreams

The ocean takes me in
To watch you shake it
Watch you wave your powers
Tempt with hours of pleasure

Take me one more time
Take me one more wave
Take me for one last ride
I'm out of my head

Tonight
Tonight
Tonight
Tonight

The sound of the waves collide
The sound of the waves collide
The sound of the waves collide
Tonight(We ride)

Cruising through the city
After hours with me
Fusing all our powers
Here's to all our dreams

Take me one more time
Take me one more wave
Take me for one last ride
I'm out of my head

Tonight
Tonight
Tonight
Tonight

The sound of the waves collide
The sound of the waves collide
The sound of the waves collide
Tonight(We ride)

#OfficialMusicVideo #Deftones #Sextape #WeAreWarnerRecords",True,True,100152537.0,alternative metal
603,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,Cherry Waves,Saturday Night Wrist,album,spotify:track:70L6nHORQsblY813yNqUR3,0.47,0.859,2.0,-3.663,0.0537,0.000362,0.00691,0.142,0.17,124.01,317707.0,https://www.youtube.com/watch?v=KhhcFIvZo10,Deftones - Cherry Waves (Unofficial Video),Deftribute,17205.0,497.0,40.0,"Check my other MV's Channel at: https://www.youtube.com/user/fanmvs

This is just something that I've edit
I don't own the copyright licence, but I don't desire to offend no one by pub this edit.
I don't use this to obtain any commercial earning on it.
This is a mere tribute to a great band; great poets and film makers. 

Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use.

All Credits to:

Music: Deftones - Cherry Waves / Album: Saturday Night Wrist

Videos: 
Amphitrite - Underwater Goddess

Director: Damien Krisl
Underwater Cameraoperator: Joël Cartier
Produced by: Eclumes Studios 
Associate Director: Laurids Jensen
Associate Producer: Tobias Straka
Lightning Supervisor: Oliver Muff
Grip: Nicolas Christakis
Assistent: Johannes Diboky
Technical Supervisor: Martin Bäbler
Developer Underwater-Case: Walter Bäbler
Model: Albe Hamiti (Tune)
Designer: Patrick Sonberger
Hair & Make Up: Ana Lucic
Chief Diver: Martin Jantz
Assistant Diver: Dirk Doertzbach
Assistant Diver 2: Klemens Trenkle
Delineator Logo: Joel Periat

Video:
DEFTONES 🐎 - CHERRY WAVES ♪ LIVE IN PARIS @ L'OLYMPIA 2017.05.02 by Nowayfarer 🎸 FULL ᴴᴰ

In a sea of waves
We hug the same plank
Just as I had rehearsed it over in my brain
(I saw your end)

If the waves suck you in, and you drown

If like you should sink down beneath
I'll swim down
Would you? 
Would you?

You hang anchors over my neck
I liked it at first
But the more you you laughed, the crazier I came

And the waves suck you in, and you drown

If like you should sink down beneath
I'll swim way swim down. Would you?

Is that what you want?
You
Well that's what you've got

Wave, after, wave

If like you should sink down beneath, I'll swim down
Would you?

Is that what you want?
With you
Is this what you want?
With you, you

Escape, below

Composers: Abe Cunningham / Abran Cunningham / Chi Cheng / Chino Moreno / Chino Camilo Moreno / Frank Delgado / Stephen Carpenter
Cherry Waves © Warner/Chappell Music, Inc",False,False,60617517.0,alternative metal
604,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,Rosemary,Koi No Yokan,album,spotify:track:4FEr6dIdH6EqLKR0jB560J,0.285,0.613,5.0,-6.412,0.0421,0.0185,0.1,0.114,0.0772,126.628,413347.0,https://www.youtube.com/watch?v=KW9IsUcsJI8,Rosemary live @ Rock Am Ring [5-10],Deftones.it,103341.0,3182.0,141.0,,False,False,49317095.0,alternative metal
605,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,Mascara,Around the Fur,album,spotify:track:4cLdpErILMO8Db8pQVAVcZ,0.472,0.446,5.0,-7.416,0.0354,0.00273,0.0606,0.091,0.0456,77.562,225293.0,https://www.youtube.com/watch?v=mFTlfh6PdNU,deftones - Mascara,SuperDeftoner,1317557.0,30269.0,498.0,"LYRICS:

i feel soon i will sink into you 
what do you think cause 
there's still blood in your hair 
and i've got the bruise of the year 
but there's something about 
her long shady eyes 
i'm all about her shade tonight 
i hate your tattoos you have weak wrists 
but i'll keep you well it's too bad you're married to me.",False,False,42567093.0,nu metal
606,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,7 Words,Adrenaline,album,spotify:track:6DoXuH326aAYEN8CnlLmhP,0.431,0.906,9.0,-6.13,0.0945,0.0001,0.0001,0.123,0.53,125.459,223893.0,https://www.youtube.com/watch?v=cqZaWj6haOg,Deftones - 7 Words [Official Music Video],Deftones,1233459.0,11311.0,527.0,"Official video for ""7 Words"" from the album, Adrenaline.

Get the White Pony 20th anniversary reissue x Black Stallion remix double album now at https://warnerrecords.lnk.to/wp20

New album _Ohms, available now: https://Deftones.lnk.to/ohms 

Follow Deftones
Website: https://deftones.com
Instagram: https://www.instagram.com/deftones/  
Facebook: https://www.facebook.com/deftones/  
Twitter: https://twitter.com/deftones  
Spotify: https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH  
Apple Music: https://music.apple.com/us/artist/deftones/1092903  
Bandsintown: https://www.bandsintown.com/en/a/81-deftones  
Songkick: https://www.songkick.com/artists/83230-deftones",True,True,31416260.0,alternative metal
607,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,Digital Bath,White Pony,album,spotify:track:2jSJm3Gv6GLxduWLenmjKS,0.338,0.859,4.0,-4.938,0.0824,0.00122,0.211,0.0936,0.504,92.966,255373.0,https://www.youtube.com/watch?v=O_IIAYZL1R4,Deftones - Digital Bath [Official Music Video],Deftones,3807263.0,43899.0,1160.0,"Official video for ""Digital Bath"" from the album, White Pony.

Get the White Pony 20th anniversary reissue x Black Stallion remix double album now at https://warnerrecords.lnk.to/wp20

New album _Ohms, available now: https://Deftones.lnk.to/ohms 

Follow Deftones
Website: https://deftones.com
Instagram: https://www.instagram.com/deftones/  
Facebook: https://www.facebook.com/deftones/  
Twitter: https://twitter.com/deftones  
Spotify: https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH  
Apple Music: https://music.apple.com/us/artist/deftones/1092903  
Bandsintown: https://www.bandsintown.com/en/a/81-deftones  
Songkick: https://www.songkick.com/artists/83230-deftones",True,True,64987410.0,nu metal
608,Deftones,https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH,Around the Fur,Around the Fur,album,spotify:track:3Fwe3XoPOiyWUPYdBKMTqV,0.449,0.87,5.0,-4.241,0.112,1.94e-05,0.0411,0.0797,0.229,79.952,211733.0,https://www.youtube.com/watch?v=XOzs1FehYOA,Deftones - My Own Summer (Official Music Video) [HD Remaster],Deftones,34336850.0,265625.0,9783.0,"Official video for ""My Own Summer (Shove It)""
Celebrating 25 years of Around The Fur. Stream the album at https://deftones.lnk.to/AroundTheFur

Shop the Deftones store now at https://shopdeftones.com/
New album _Ohms, available now: https://Deftones.lnk.to/ohms 

Follow Deftones
Website: https://deftones.com
Instagram: https://www.instagram.com/deftones/  
Facebook: https://www.facebook.com/deftones/  
Twitter: https://twitter.com/deftones  
Spotify: https://open.spotify.com/artist/6Ghvu1VvMGScGpOUJBAHNH  
Apple Music: https://music.apple.com/us/artist/deftones/1092903  
Bandsintown: https://www.bandsintown.com/en/a/81-deftones  
Songkick: https://www.songkick.com/artists/83230-deftones",True,True,36638392.0,nu metal
609,blink-182,https://open.spotify.com/artist/6FBDaR13swtiWwGhX1WQsP,All The Small Things,Enema Of The State,album,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,0.434,0.897,0.0,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726,167067.0,https://www.youtube.com/watch?v=9Ht5RZpzPqw,blink-182 - All The Small Things (Official Music Video),blink182VEVO,332704458.0,1581923.0,60906.0,"REMASTERED IN HD!
Listen to more from Blink-182: https://lnk.to/Blink182
Discover more about this classic song and the Enema Of The State album here: https://www.udiscovermusic.com/storie...

Stream a playlist of their biggest tracks: http://playlists.udiscovermusic.com/p...

Experience Blink-182 on Vinyl LP:
https://lnk.to/Blink182Store

Revisit more 90's music videos: https://www.youtube.com/watch?v=xGytDsqkQY8&list=PLjF50Dlp9iembnFdfoZaqIoYZ0zBm7utR

Watch more remastered videos! https://www.youtube.com/watch?v=hTWKbfoikeg&list=PLDNtAuXIhbEPLcw6HLBLkVJl_MUd0DFW2

Follow Blink-182
https://en-gb.facebook.com/blink182/
https://twitter.com/blink182
https://www.instagram.com/blink182/
https://www.blink182.com/

Music video by blink-182 performing All The Small Things. (C) 2000 Geffen Records

#Blink182 #AllTheSmallThings #Remastered",True,True,798081462.0,pop punk
