num_hidden_layers,units_1,units_2,units_3,units_4,dropout_rate,activation_function,batch_size,early_stopping_patience,reduce_lr_factor,reduce_lr_patience,reduce_lr_min_lr,best_val_accuracy,val_accuracy_std,best_val_loss,val_loss_std,best_train_accuracy,train_accuracy_std,best_train_loss,train_loss_std,delta_acc
2,64,128,256,512,0.3,LeakyReLU,512,15,0.1,5,1e-07,0.626982847849528,0.011390759786384753,0.9920289913813273,0.020352548880201677,0.6415456533432007,0.0028884212896912688,0.9517960747083029,0.016576070822971235,0.023226800451752884
2,64,128,256,512,0.3,LeakyReLU,512,15,0.1,5,1e-05,0.6298303206761678,0.005519520652632698,0.9951931238174438,0.022944591251683057,0.6393292347590128,0.0025607906616715594,0.9549957116444906,0.016466691883847206,0.015081703390600845
2,64,128,256,512,0.3,LeakyReLU,512,15,0.1,7,1e-07,0.6333151658376058,0.007251916725481855,0.9956241250038147,0.025843265110115757,0.6458203593889872,0.010524388291437758,0.9541788697242737,0.0059794078484193295,0.019745608862598952
2,64,128,256,512,0.3,LeakyReLU,512,15,0.1,7,1e-05,0.6329986055692037,0.011827928464732096,0.9951177636782328,0.01354925527245795,0.6418631076812744,0.005292801235998072,0.9558821519215902,0.023426842058471075,0.01400398363294902
2,64,128,256,512,0.3,LeakyReLU,512,15,0.5,5,1e-07,0.6266665856043497,0.012062382317427652,0.9955323139826456,0.02026234893679914,0.6409120162328085,0.0010027895077452946,0.9552702307701111,0.013911829907911871,0.022732073092297734
2,64,128,256,512,0.3,LeakyReLU,512,15,0.5,5,1e-05,0.6282484531402588,0.008168918077265412,0.9902667204538981,0.02505937269684844,0.6353709499041239,0.003556072795476712,0.9530531565348307,0.013633807172363366,0.01133707011654988
2,64,128,256,512,0.3,LeakyReLU,512,15,0.5,7,1e-07,0.6272994081179301,0.009557312024201564,0.9981272419293722,0.018347252795362607,0.6377466917037964,0.006927410637804793,0.9592656890551249,0.020085434674084163,0.016654381385774044
2,64,128,256,512,0.3,LeakyReLU,512,15,0.5,7,1e-05,0.6323673129081726,0.011786633558888029,1.0069241325060527,0.019412609726512046,0.6345809102058411,0.010407380966480882,0.9681036074956259,0.0270196604913691,0.0035004929136650334
2,64,128,256,512,0.3,LeakyReLU,1024,15,0.1,5,1e-07,0.6136829853057861,0.009622457434113153,1.0471676190694172,0.010634712137232858,0.6146318713823954,0.010563776145222385,1.0234515070915222,0.03175678829969337,0.001546215390241666
2,64,128,256,512,0.3,LeakyReLU,1024,15,0.1,5,1e-05,0.6146341562271118,0.010926592592860334,1.0420334736506145,0.008710883081039164,0.6181127031644186,0.011636834442952814,1.024390439192454,0.021173502830857307,0.005659540560940467
2,64,128,256,512,0.3,LeakyReLU,1024,15,0.1,7,1e-07,0.6120989918708801,0.009864382992150604,1.055517276128133,0.0158876333568267,0.6165299415588379,0.0076778335018073286,1.0285720030466716,0.020467654083315037,0.007238942959887206
2,64,128,256,512,0.3,LeakyReLU,1024,15,0.1,7,1e-05,0.6171666185061137,0.011296029288410768,1.0375828345616658,0.026818458594618753,0.62697966893514,0.0028369768021122943,1.012656847635905,0.007845664333405153,0.015900163966708694
2,64,128,256,512,0.3,LeakyReLU,1024,15,0.5,5,1e-07,0.6086150805155436,0.011405361105333228,1.0545238653818767,0.01619106016986795,0.6171632011731466,0.0024756606558088,1.0245217482248943,0.006482421651029045,0.014045200211539464
2,64,128,256,512,0.3,LeakyReLU,1024,15,0.5,5,1e-05,0.6168485283851624,0.006902874394026857,1.0409775575002034,0.002789942120308792,0.6249226530392965,0.01007738098480082,1.0148503979047139,0.021302554442029473,0.013089314933232102
2,64,128,256,512,0.3,LeakyReLU,1024,15,0.5,7,1e-07,0.607659379641215,0.009105676044100208,1.044657866160075,0.00579192295198758,0.6196983456611633,0.011275403886126613,1.025553584098816,0.019113683069397005,0.019812030264482416
2,64,128,256,512,0.3,LeakyReLU,1024,15,0.5,7,1e-05,0.6149492065111796,0.010005381431424286,1.0366874933242798,0.019108995909955774,0.6208045681317648,0.0015015317038503014,1.0110278526941936,0.00861963779585258,0.009521699611264966
2,64,128,256,512,0.5,LeakyReLU,512,15,0.1,5,1e-07,0.6108315785725912,0.004374553321149901,1.0360145171483357,0.012092216900319228,0.6242887179056803,0.006558783895322394,1.0096568862597148,0.017856807123326855,0.022030850737180533
2,64,128,256,512,0.5,LeakyReLU,512,15,0.1,5,1e-05,0.6139947175979614,0.005708936811438021,1.0541576147079468,0.008071760774327266,0.6168491045633951,0.015252117218385848,1.026599685351054,0.032680521723009275,0.004648878701433305
2,64,128,256,512,0.5,LeakyReLU,512,15,0.1,7,1e-07,0.6067163546880087,0.008381332168886181,1.0472938219706218,0.0169331103698656,0.6185874938964844,0.003473412808008409,1.0225036938985188,0.006926113994261374,0.019566209344365208
2,64,128,256,512,0.5,LeakyReLU,512,15,0.1,7,1e-05,0.6212830146153768,0.009551290862408246,1.0349715948104858,0.025685027930816662,0.6242871284484863,0.003401726022897882,1.0156356493632,0.004304122336327127,0.004835338746495885
2,64,128,256,512,0.5,LeakyReLU,512,15,0.5,5,1e-07,0.611782431602478,0.009132463079697303,1.0468253294626872,0.0051024375981794795,0.6184302568435669,0.005055432179828754,1.0219946304957073,0.025141540850496937,0.010866322564503567
2,64,128,256,512,0.5,LeakyReLU,512,15,0.5,5,1e-05,0.6155804991722107,0.011474468051811711,1.032950798670451,0.00653437737587289,0.6260308424631754,0.010809836244549764,1.0090166529019673,0.018676031265710373,0.016976404069033394
2,64,128,256,512,0.5,LeakyReLU,512,15,0.5,7,1e-07,0.6196978290875753,0.007754317466859666,1.0321356852849324,0.010552138267335885,0.6263467868169149,0.004659712387502681,1.007327139377594,0.017687912984883453,0.010729354561608402
2,64,128,256,512,0.5,LeakyReLU,512,15,0.5,7,1e-05,0.6139980355898539,0.014914586043391425,1.0456854104995728,0.022266999783864563,0.6193796197573344,0.0015012692967288606,1.017151157061259,0.010797557075599373,0.00876482310291189
2,64,128,256,512,0.5,LeakyReLU,1024,15,0.1,5,1e-07,0.5766345063845316,0.00835766272978665,1.137466828028361,0.011403009615641592,0.5823302268981934,0.01001156262345343,1.1204456488291423,0.013821728487838643,0.00987752285130075
