Unnamed: 0,Artist,Url_spotify,Track,Album,Album_type,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title,Channel,Views,Likes,Comments,Description,Licensed,official_video,Stream,Genre
1400,Joan Sebastian,https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,Eso Y Más,Más Allá Del Sol,album,spotify:track:7HW5tUjaKxBUamSi7nnzPt,0.585,0.132,9.0,-12.731,0.0751,0.937,0.0,0.106,0.454,151.968,159172.0,https://www.youtube.com/watch?v=WIBcys2nMtc,Joan Sebastian - Eso y Más (Video Oficial),Discos Musart,88721.0,904.0,25.0,"Disfruta del video oficial de ""Eso y Más"" interpretada por Joan Sebastian. Esta canción pertenece al disco MÁS ALLÁ DEL SOL lanzado en 2006.

Disfruta el disco ahora en Spotify: https://found.ee/JoanSebastian-MasAlla-spotify-lat

-----------------------------------------------------------------

**Sígue/Follow Discos Musart**
YouTube: https://found.ee/discosmusartYT
Instagram: https://found.ee/discosmusartIG
Facebook: https://found.ee/discosmusartFB
Twitter: https://found.ee/discosmusartTwitter
TikTok: https://found.ee/discosmusartTikTok

#JoanSebastian #EsoYMás 

Licensed to YouTube by UMG
(on behalf of Discos Musart, a division of Craft Recordings Latino)",True,True,198655853.0,Not Found
1401,Joan Sebastian,https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,Te Irá Mejor Sin Mí,Pegadito Al Corazón,album,spotify:track:3d7uS6KzdacpUccKpjXr7x,0.699,0.414,9.0,-10.756,0.0269,0.65,0.000942,0.103,0.419,99.993,176320.0,https://www.youtube.com/watch?v=BPTd4iX980Q,Joan Sebastian Te Ira Mejor Sin Mi   Pantera Studio 45® VIDEO OFICIAL 2017,Pantera Studio 45,5168669.0,13349.0,296.0,No copyright infringement intended.... For promotional purposes only....All rights reserved to the respective owners and artists. Please support the artists and buy their music.,False,True,125380826.0,Not Found
1402,Joan Sebastian,https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,Rumores,Rumores,album,spotify:track:1DVZafFlOB53zfGDVs8w1s,0.805,0.697,11.0,-7.349,0.0363,0.488,0.0,0.0922,0.721,125.842,222476.0,https://www.youtube.com/watch?v=LuIP3u6_qhI,Rumores-Joan Sebastian,Rockola Videobar,183047572.0,291898.0,7647.0,Joan Sebastian el mejor de Mexico,False,False,138173166.0,Not Found
1403,Joan Sebastian,https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,Sentimental,Afortunado,album,spotify:track:3NLJWd1FgZlgBRukNXxEBd,0.719,0.46,8.0,-5.827,0.0332,0.891,7.81e-05,0.081,0.881,108.479,167515.0,https://www.youtube.com/watch?v=jblhAJWrTuQ,Joan Sebastian - Sentimental.,Louan Gama,950126.0,3193.0,67.0,"Videoclip elabrado por alumnos de comunicación (LEB records).
Director: Brenda Dávila.
Producción: Emmanuel Magdaleno.
Post producción: Louan Gama.
Fotografía: Natalia Ayón.
Locación: Rancho ""La purisima"", Cacalomacan, Estado de México.
*Videoclip no oficial.",False,False,92696236.0,Not Found
1404,Joan Sebastian,https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,Un Idiota,Secreto De Amor,album,spotify:track:5susfx6SX1tebTCLSxe74K,0.594,0.39,9.0,-9.174,0.0396,0.517,0.0,0.118,0.34,85.366,199483.0,https://www.youtube.com/watch?v=gltRZjeil84,Joan Sebastian - Un Idiota (Video Oficial),Discos Musart,52443058.0,272907.0,4175.0,"Escucha nuestra playlist 'Mi Mexico Querido: Joan Sebastian' aquí: found.ee/mmq-joansebastian-digital-lat

Joan Sebastian, fue un cantante/compositor mexicano que escribió, interpretó y grabó música regional mexicana. Es conocido como  ""El Rey del Jaripeo"", ""El Poeta del Pueblo"", ""El Poeta de Juliantla"" y ""El Huracán del Sur"". Escribió más de 1,000 canciones y recibió siete Premios Grammy Latinos y cinco Premios Grammy, convirtiéndolo en el artista mexicano más premiado en la historia de los Grammy. Su éxito ""Un Idiota"" aborda el tema del amor y la pérdida, y lo canta con un sentimiento genuino y una sensación de intimidad.

Joan Sebastian was a Mexican singer/songwriter who wrote, performed, and recorded songs in regional Mexican styles. He is known as ""El Rey del Jaripeo,"" ""El Poeta del Pueblo"", ""El Poeta de Juliantla"" and ""El Huracán del Sur"". He wrote more than 1,000 songs and was awarded seven Latin Grammy Awards and five Grammy Awards, making him the most awarded Mexican performer in Grammy history. His hit ""Un Idiota"" addresses the theme of love and loss, and he sings it with a genuine feeling and a sense of intimacy. 

-----------------------------------------------------------------

**Sígue/Follow Discos Musart**
YouTube: https://found.ee/discosmusartYT
Instagram: https://found.ee/discosmusartIG
Facebook: https://found.ee/discosmusartFB
Twitter: https://found.ee/discosmusartTwitter
TikTok: https://found.ee/discosmusartTikTok

#JoanSebastian #UnIdiota #PoetaDelPueblo

Licensed to YouTube by UMG (on behalf of Discos Musart, a division of Craft Recordings Latino)",True,True,113951159.0,Not Found
1405,Joan Sebastian,https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,Que Sea,Que Sea,single,spotify:track:4yKC4OVtG5Z9nIX98r7SQp,0.781,0.693,0.0,-3.558,0.0308,0.701,4.45e-06,0.156,0.939,97.074,170507.0,https://www.youtube.com/watch?v=wqS1U38uaMU,"Joan Sebastian, Calibre 50 - Que Sea",JoanSebastianVEVO,64304761.0,302167.0,4867.0,"WATCH YOUR FAVOURITE LOS TIGRES DEL NORTE VIDEOS ON YOUTUBE:
https://www.youtube.com/watch?v=rryDND06LHU&list=RDEME9k3qwAjXVPgoFEXZ3Mu3A&start_radio=1

SIGUE A LOS TIGRES DEL NORTE:
http://lostigresdelnorte.com/main/
https://www.facebook.com/LosTigresDelNorte/
https://www.instagram.com/lostigresdelnorte/
https://twitter.com/tigresdelnorte

LYRIC:
MUJERES DIVINAS
Hablando de mujeres y traiciones
Se fueron consumiendo las botellas
Pidieron que cantara mis canciones
Y yo canté unas dos en contra de ellas
De pronto que se acerca un caballero
Su pelo ya pintaba algunas canas
Me dijo le suplico compañero
Que no hable en mi presencia de las damas
Le dije que nosotros simplemente
Hablamos de lo mal que nos pagaron
Que si alguien opinaba diferente
Sería porque jamás lo traicionaron
Que si alguien opinaba diferente
Sería porque jamás lo traicionaron

Me dijo yo soy uno de los seres
Que más ha soportado los fracasos
Y siempre me dejaron las mujeres
Llorando y con el alma hecha pedazos
Más nunca les reprocho mis heridas
Se tiene que sufrir cuando se ama
Las horas más hermosas de mi vida
Las he pasado al lado de una dama
Pudiéramos morir en las cantinas
Y nunca lograríamos olvidarlas
Mujeres o mujeres tan divinas
No queda otro camino que adorarlas
Mujeres o mujeres tan divinas
No queda otro camino que adorarlas",True,True,103018895.0,Not Found
1406,Joan Sebastian,https://open.spotify.com/artist/7FsRH5bw8iWpSbMX1G7xf1,Diséñame,Un Lu*Jo,album,spotify:track:7tmq8wPHKYL2sKUpLpkXwP,0.691,0.272,0.0,-8.141,0.0304,0.764,1.3e-06,0.117,0.608,93.899,186413.0,https://www.youtube.com/watch?v=e7_h4WNnlTU,Joan Sebastian - Diseñame  (VIDEO OFICIAL),Skalona Music Group,247884424.0,635620.0,15746.0,Diseñame de Joan Sebastian. De Un Lu*Jo Lucero y Joan Sebastian. Skalona Records/FAS 2012,True,True,108290791.0,Not Found
1407,Bing Crosby,https://open.spotify.com/artist/6ZjFtWeHP9XN7FeKSUe80S,White Christmas,Holiday Inn (Original Motion Picture Soundtrack),album,spotify:track:4so0Wek9Ig1p6CRCHuINwW,0.317,0.158,9.0,-16.485,0.0381,0.673,0.353,0.338,0.247,130.503,177480.0,https://www.youtube.com/watch?v=v5ryZdpEHqM,White Christmas (Official Video),BingCrosbyVEVO,3283796.0,23083.0,453.0,"Bing Crosby “White Christmas” official video. Subscribe to never miss an update.
 
Watch videos from the Christmas With Bing Playlist: https://youtube.com/watch?v=BtdEufWBDo8&list=PL7Sv7aQs2p0XWnioWnGPSYsyRmHWlJft-

Stream Christmas With Bing Crosby https://bingcrosby.lnk.to/ChristmasID
 
Watch videos from the Bing at Christmas with the London Symphony Orchestra Playlist: https://youtube.com/watch?v=A4zBSnMhvI0&list=PL7Sv7aQs2p0WXU-0h5LAyhzA9R3a1SA9h
 
#BingCrosby #WhiteChristmas

http://vevo.ly/BHqQ7s",True,True,394475462.0,jazz
1408,Bing Crosby,https://open.spotify.com/artist/6ZjFtWeHP9XN7FeKSUe80S,Do You Hear What I Hear? - Remastered 2006,Bing Crosby - Christmas Classics,compilation,spotify:track:5aDoUmxBsbdpS16alksb5Z,0.566,0.246,10.0,-15.499,0.0276,0.813,1.48e-06,0.195,0.412,101.529,165667.0,https://www.youtube.com/watch?v=dbMRXcPXtX8,Do You Hear What I Hear? (Remastered 2006),David Robert O'Connor 2018,1122.0,22.0,3.0,"Provided to YouTube by Universal Music Group

Do You Hear What I Hear? (Remastered 2006) • Bing Crosby

Bing Crosby • Christmas Classics

©️ 2006 Capitol Records, LLC

Released on: 2006-01-01

Conductor: Ralph Carmichael
Composer  Lyricist: Noel Regney
Composer  Lyricist: Gloria Shayne

Auto-generated by YouTube.",False,False,149519185.0,jazz
1409,Bing Crosby,https://open.spotify.com/artist/6ZjFtWeHP9XN7FeKSUe80S,It's Beginning To Look A Lot Like Christmas,Christmas,album,spotify:track:1uh1iaMqBdx4XyrXhssKGD,0.464,0.259,3.0,-9.194,0.0379,0.869,0.000326,0.116,0.531,97.586,164613.0,https://www.youtube.com/watch?v=uE60iiHvabk,Bing Crosby - It's Beginning To Look A Lot Like Christmas (Lyric Video),BingCrosbyVEVO,387954.0,3756.0,73.0,"The official lyric video for “It’s Beginning To Look A Lot Like Christmas” by Bing Crosby. Watch more Classic Christmas Videos: https://stream.lnk.to/ChristmasID/youtube
 
Listen to all your favorite Christmas songs wherever you stream music: https://stream.lnk.to/ChristmasID
 
Listen to more Christmas music from Bing Crosby!
Christmas Carols EP https://BingCrosby.lnk.to/ChristmasCarolsID
Christmas for Kids EP https://BingCrosby.lnk.to/ChristmasForKidsID
 
Follow Bing Crosby
Facebook: https://facebook.com/BingCrosby
Instagram: https://instagram.com/BingCrosby
Website: https://BingCrosby.com
 
#BingCrosby #ItsBeginningToLookALotLikeChristmas #ChristmasMusic #Holiday",True,True,128308254.0,jazz
